Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
MISSING	MISSING	RetroArch PSX-Place CE Unofficial BETA Updated: 2/08/22	https://archive.org/download/retro-arch-community-edition-unofficial-beta-v4/RetroArch_Community_Edition_unofficial_beta.pkg	MISSING	RetroArch_PSX_Place_CE_BETA_Installer		612552704	612552704
MISSING	MISSING	MAME For PS3 v0.142 (Preview)	https://www.dropbox.com/s/aacbfckhrqn43du/PS3MAME_v0.142.pkg?dl=1	MISSING	PS3MAME_v0.142_Preview_Installer		83226624	83226624
MISSING	MISSING	DoPsBox (DOS Emulator) v0.74-ps3-r1	https://www.dropbox.com/s/xnp361813tmd2xk/dopsbox_v0.74-ps3-r1.pkg?dl=1	MISSING	DoPsBox_v0.74-ps3-r1_Installer		2072576	2072576
MISSING	MISSING	ScummVM PS3 (ALL CFW) v2.2.0	https://www.dropbox.com/s/vsbbu8h3pponigz/scummvm-ps3_v2.2.0.pkg?dl=1	MISSING	ScummVM_All_CFW_v2.2.0_Installer		54841344	54841344
MISSING	US	Super Mario 64 For PS3 (60fps) v1.0	https://archive.org/download/60fps-sm64-playstation-3/%2860fps%29%20SM64_PlayStation_3.pkg	MISSING	Super_Mario_64_PS3_60fps_Installer		8179712	8179712
















































